1	8014
2	6060
3	5330
4	4278
5	3952
6	3614
7	3213
8	2906
9	2541
10	2583
11	2220
12	2175
13	2299
14	1426
15	1769
16	1502
17	1385
18	1526
19	1019
20	1290
21	1057
22	869
23	928
24	1151
25	651
26	837
27	1148
28	869
29	775
30	621
31	971
32	779
33	725
34	604
35	663
36	444
37	467
38	672
39	675
40	413
41	443
42	519
43	360
44	432
45	413
46	462
47	340
48	286
49	600
50	383
51	381
52	448
53	319
54	263
55	276
56	304
57	341
58	445
59	190
60	360
61	304
62	255
63	202
64	126
65	322
66	257
67	262
68	152
69	142
70	135
71	129
72	79
73	210
74	203
75	172
76	188
77	191
78	153
79	97
80	118
81	91
82	135
83	47
84	183
85	115
86	193
87	165
88	131
89	131
90	44
91	337
92	107
93	23
94	20
95	83
96	296
97	248
98	44
99	121
100	276
101	215
102	289
103	178
104	71
105	181
106	195
107	116
108	170
109	181
110	38
111	517
112	42
113	163
114	64
115	52
116	84
117	151
118	145
119	21
120	138
121	49
122	26
123	73
124	28
125	31
126	134
127	27
128	32
129	22
130	166
131	19
132	145
133	250
134	33
135	139
136	17
137	89
138	122
139	129
140	149
141	35
142	77
143	160
144	27
145	57
146	43
147	92
148	42
149	151
150	23
151	41
152	185
153	16
154	169
155	25
156	24
157	21
158	153
159	22
160	155
161	50
162	9
163	91
164	20
165	98
166	14
167	28
168	107
169	18
170	18
171	128
172	103
173	309
174	30
175	58
176	65
177	21
178	93
179	23
180	156
181	23
182	29
183	19
184	27
185	27
186	16
187	8
188	13
189	11
190	13
191	21
192	8
193	8
194	9
195	14
196	13
197	7
198	13
199	14
200	13
201	11
202	7
203	9
204	10
205	6
206	16
207	13
208	10
209	9
210	20
211	396
212	140
213	5
214	12
215	10
216	8
217	104
218	9
219	11
220	37
221	14
222	4
223	5
224	114
225	10
226	9
227	17
228	5
229	67
230	12
231	10
232	4
233	6
234	14
235	8
236	15
237	4
238	8
239	6
240	226
241	11
242	9
243	9
244	40
245	5
246	10
247	9
248	12
249	2
250	2
251	5
252	19
253	9
254	7
255	5
256	21
257	1
258	211
259	11
260	8
261	4
262	5
263	1
264	9
265	25
266	8
267	8
268	6
269	13
270	6
271	9
272	2
274	5
275	3
276	4
277	1
278	2
279	255
280	3
281	158
282	18
283	6
284	7
285	6
286	251
287	16
288	11
289	12
290	8
291	10
292	10
293	4
294	5
295	4
296	6
297	5
298	7
299	4
300	2
301	7
302	2
303	6
304	6
305	277
306	4
307	4
308	1
309	219
310	13
311	11
312	8
313	11
314	8
315	9
316	4
317	21
318	5
319	149
320	11
321	14
322	8
323	13
324	7
325	15
326	16
327	19
328	8
329	5
330	6
331	6
332	10
333	11
334	3
335	3
336	6
337	7
338	9
339	3
340	6
341	2
342	7
343	4
344	6
346	3
347	2
348	4
349	2
350	6
351	6
352	2
353	4
354	1
355	1
357	1
358	2
359	3
360	3
361	3
363	1
364	4
365	1
366	1
368	1
370	2
371	2
372	1
373	1
374	2
376	2
377	1
380	1
382	1
383	1
384	3
386	3
387	1
388	2
390	1
391	3
393	1
394	1
395	3
396	2
400	2
401	2
403	2
404	1
406	1
407	1
409	2
410	3
411	1
412	1
413	2
414	2
415	4
416	4
417	2
418	3
419	2
420	2
422	1
423	1
424	3
425	2
429	1
430	2
432	2
433	2
434	1
435	2
437	1
439	2
440	4
441	1
442	2
445	1
449	1
450	1
451	1
456	1
461	1
463	1
464	1
466	4
467	2
469	1
471	2
472	2
479	1
485	2
487	1
488	1
493	1
495	1
497	2
504	1
505	1
507	1
508	3
511	2
514	1
515	1
516	1
518	1
519	1
520	1
521	2
536	1
538	2
540	1
543	1
544	1
545	1
547	1
548	1
555	1
564	1
565	1
566	1
569	1
570	1
572	2
594	1
600	1
611	1
635	1
645	1
646	1
655	1
663	1
684	1
689	1
700	1
709	1
723	1
742	1
748	1
762	1
778	1
840	1
887	1
915	1
1227	1
1322	1
